M,N,K,wave_tflops,triton_tflops,torch_tflops
8192,12288,8192,774.304,532.8019,566.8092
8192,12288,14336,568.1532,511.1404,519.4814
8192,12288,28672,565.9251,506.625,516.8663
8192,13312,1024,494.1113,457.7345,398.5611
8192,13312,2048,628.2371,507.5536,408.0058
8192,13312,3584,625.3472,556.6523,493.2802
8192,13312,4096,726.3034,559.012,443.7739
8192,13312,7168,676.7827,559.6396,465.2592
8192,13312,8192,787.0953,562.7352,385.6993
8192,13312,14336,601.2954,547.1983,398.342
8192,13312,28672,625.3472,554.4554,405.2267
8192,14336,1024,492.8651,466.1527,487.4974
8192,14336,2048,616.7133,525.9413,537.3066
8192,14336,3584,618.9806,570.7505,568.049
8192,14336,4096,712.6464,574.2912,569.7405
8192,14336,7168,645.0679,573.5195,610.6791
8192,14336,8192,779.0062,585.1469,630.8281
8192,14336,14336,599.1556,583.1427,594.7532
8192,14336,28672,606.7125,593.3891,584.0467
8192,15360,1024,493.6744,454.6011,391.9142
8192,15360,2048,620.9591,508.0986,499.6279
8192,15360,3584,617.7693,557.6273,539.6795
8192,15360,4096,701.2192,565.2401,539.7045
8192,15360,7168,648.88,541.7656,539.8964
8192,15360,8192,763.5497,554.8398,488.0054
8192,15360,14336,594.3612,534.6358,502.6557
8192,15360,28672,601.2954,541.3627,508.4207
8192,16384,1024,475.5673,466.3236,538.2699
8192,16384,2048,614.9394,530.3517,591.6259
8192,16384,3584,593.872,573.2981,570.0063
8192,16384,4096,718.6351,577.9689,551.4656
8192,16384,7168,624.7225,563.688,607.477
8192,16384,8192,768.8893,560.5964,626.8195
8192,16384,14336,584.8466,563.3858,593.4215
8192,16384,28672,596.6342,573.2001,586.3211
10240,512,8192,416.9871,280.063,403.4982
10240,1024,8192,449.7348,455.1437,539.9927
10240,2048,8192,621.3334,419.5467,567.0348
10240,3072,8192,715.8279,535.7548,529.3351
10240,4096,8192,742.9133,506.6867,627.3038
10240,5120,8192,746.9508,560.3737,605.7248
10240,6144,8192,741.5771,564.2005,550.7637
10240,7168,8192,742.34,583.9248,644.3765
10240,8192,8192,727.1902,576.576,648.4426
10240,9216,8192,732.7906,601.2418,474.4792
10240,10240,8192,734.1824,566.203,611.6124
